Filters: [fft-scaling]
Randomness seeded to: 1393469654
N,log2N,recursive_ns,iterative_ns,iter_speedup,recursive_per_NlogN,iterative_per_NlogN
16,4,12000,958,12.5261,187.5,14.9688
32,5,20917,2209,9.46899,130.731,13.8063
64,6,40041,5041,7.94307,104.273,13.1276
128,7,82000,11416,7.1829,91.5179,12.7411
256,8,170083,25917,6.5626,83.0483,12.6548
512,9,348541,57833,6.02668,75.6382,12.5506
1024,10,721417,128375,5.61961,70.4509,12.5366
2048,11,1.48046e+06,283833,5.21595,65.7164,12.5991
4096,12,3.03746e+06,622333,4.88076,61.7972,12.6614
8192,13,6.229e+06,1.35317e+06,4.60328,58.4905,12.7063
16384,14,1.2932e+07,2.93246e+06,4.40995,56.379,12.7845
32768,15,2.64872e+07,6.3225e+06,4.18936,53.8884,12.8632
65536,16,5.37054e+07,1.35775e+07,3.95547,51.2175,12.9485
131072,17,1.09958e+08,2.89947e+07,3.79234,49.3476,13.0125
262144,18,2.23333e+08,6.0635e+07,3.68323,47.3303,12.8502
524288,19,NA,1.28673e+08,NA,NA,12.9171
1048576,20,NA,2.73715e+08,NA,NA,13.0518
# sink=9.17656e+06

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
HPAS_A1_Tests is a Catch2 v3.7.1 host application.
Run with -? for options

-------------------------------------------------------------------------------
FFT scaling: recursive vs iterative
-------------------------------------------------------------------------------
/Users/nicholaswu/Downloads/High Performance/HPAS_A1/HPAS_Assignment_1/test/ft.cpp:283
...............................................................................

/Users/nicholaswu/Downloads/High Performance/HPAS_A1/HPAS_Assignment_1/test/ft.cpp:353: PASSED:
with message:
  scaling experiment complete; see CSV above

===============================================================================
All tests passed (1 assertion in 1 test case)

